"score","text","name"
0,"#SecretSuperstar to release on 4th August 2017 @aamir_khan <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>","AamirKhan"
0,"#SecretSuperstar will star @aamir_khan in a special cameo. Film to release on 4 August 2017. https://t.co/pplkxbjQXZ","AamirKhan"
0,"@aamir_khan waiting fr dangal aamir.....fingrs crossed","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"Great news @aamir_khan <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083> Birthday gift for me #SecretSuperstar <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/65g5AxK1IC","AamirKhan"
2,"@aamir_khan  support like steel man to the sports person","AamirKhan"
0,"Whisk off your Monday blues with #Gilehriyaan 
@fattysanashaikh @aamir_khan @jonitamusic @ipritamofficial #Dangal 
https://t.co/r5ABX9JCqk","AamirKhan"
0,".@aamir_khan will next do a cameo in #SecretSuperstar
https://t.co/57QR5NHjic https://t.co/Tsni55EExs","AamirKhan"
2,"Which song from #Dangal do you like more?
RT - #Dhaakad 
Like - #Gilehriyaan
@aamir_khan https://t.co/L6elrUq2xA","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @PartapGaurav: 2 perfectionist of bollywood
#Sridevi #AamirKhan
Kash Ek movie to sath karte dono :(
@SrideviBKapoor <U+2661> @aamir_khan http:/…","AamirKhan"
0,"RT @Bollyhungama: ""I will watch #Dangal first day first show of my langoti yaar @aamir_khan"": @BeingSalmanKhan at #StarScreenAwards","AamirKhan"
0,"@aamir_khan @YouTube love you so much Aamir miss uuuuu","AamirKhan"
0,"@Rajibsingha_ @aamir_khan u r a tingu","AamirKhan"
0,"@aamir_khan Jhakaaaas","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @OYERJALOK: In Pics : @aamir_khan with his #Dangal daughters @sanyamalhotra07 and @fattysanashaikh at the #FashionNights @gqindia #RjAlo…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @aamir_khan: Mhaari chhoriyaan chhoron se kum hain ke? https://t.co/DICvp3grfE","AamirKhan"
0,"RT @boxofficeindia: .@ZeeStudios_ to present Aamir Khan Productions' film #SecretSuperstar dir by #AdvaitChandan with @aamir_khan as cameo.…","AamirKhan"
0,"RT @AamirMeriJaan: Never seen such a handsome music composer <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 

@aamir_khan in #SecretSuperstar https://t.co/WoD8jOH83j","AamirKhan"
0,"@KomalNahta GOD OF BOLLYWOOD only @aamir_khan rules!","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"@aamir_khan Waiting for Dangal <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/RPWWp3VYzU","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"@aamir_khan Waiting for #Dangal <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/SWRMiiJVPL","AamirKhan"
0,"RT @MovieTalkies: #AamirKhan Starrer #SecretSuperstar To Release On This Date...https://t.co/T8sKi6IQ3E

#Bollywood #Dangal @aamir_khan","AamirKhan"
0,"@aamir_khan #DhaakadGirls <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","AamirKhan"
2,"@IndianExpress @sonamakapoor What's the cost she is giving for award? Award bikte hai! @aamir_khan","AamirKhan"
0,"@aamir_khan Love .s. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","AamirKhan"
0,"RT @ThanzeemKR: Dying for @BollywoodDANGAL to come out. Must we wait this long @aamir_khan ? I'm READY to see it now!!","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"Great!!! Only makes me wonder about results if girls who represent us in Olympics get even 10% of the facilities th… https://t.co/wfDbkKCDhE","AamirKhan"
0,"@aamir_khan @YouTube girls are physically n mentally hardworking as well as braver than boys no doubts.","AamirKhan"
